"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"3650","Soccer -Regulation","02/20/2022 08:00:00 AM","02/20/2022 04:00:00 PM","Sport - Adult","Manhattan","Riverside Park: 107th/108th St-Soccer-01 E ,East River Park: Soccer-01 East 6th Street"
"3651","Soccer - Non Regulation","02/25/2022 07:30:00 PM","02/25/2022 09:30:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75"
"3652","RRT- Covid 19 testing and Vaccine for the public","02/24/2022 07:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Brooklyn","Coffey Park: Coffey Park"
"3653","2022 Times Square Valentine Heart","02/16/2022 12:00:00 AM","02/16/2022 11:59:00 PM","Special Event","Manhattan","Father Duffy Square: Father Duffy Square"
"3654","Columbia Greenmarket Thursday and Sunday","03/06/2022 08:00:00 AM","03/06/2022 05:00:00 PM","Farmers Market","Manhattan","BROADWAY between WEST  113 STREET and WEST  116 STREET"
"3655","Soccer - Non Regulation","03/06/2022 07:00:00 AM","03/06/2022 10:00:00 AM","Sport - Adult","Brooklyn","Bill Brown Playground: Soccer-01"
"3656","Celebration","04/09/2022 10:00:00 AM","04/09/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3657","Soccer -Regulation","02/23/2022 09:00:00 AM","02/23/2022 08:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: East River Fields-Soccer-85"
"3658","Volleyball","03/06/2022 03:00:00 PM","03/06/2022 07:00:00 PM","Sport - Adult","Queens","Grover Cleveland Playground: Volleyball-01"
"3659","NYRR Open Run Morningside Park","03/05/2022 09:00:00 AM","03/05/2022 10:00:00 AM","Special Event","Manhattan","Morningside Park: Lower Path 114th-116th"
"3660","Mobile COVID-19 Test Site","02/20/2022 08:00:00 AM","02/20/2022 07:00:00 PM","Special Event","Brooklyn","Marion Hopkinson Playground: Marion Hopkinson Playground"
"3661","Mobile COVID-19 Test Site","02/20/2022 09:00:00 AM","02/20/2022 06:00:00 PM","Special Event","Brooklyn","Sunset Park: Lawn at 44th and 6th"
"3662","Covid 19 testing for the public","02/27/2022 07:00:00 AM","02/27/2022 07:00:00 PM","Special Event","Brooklyn","Power Playground: Power Playground"
"3663","Celebration","06/01/2022 10:00:00 AM","06/01/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"3664","Soccer - Non Regulation","03/06/2022 08:00:00 AM","03/06/2022 03:00:00 PM","Sport - Youth","Queens","Big Bush Park: Soccer-01"
"3665","Celebration","05/28/2022 02:00:00 PM","05/28/2022 03:30:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"3666","Soccer -Regulation","02/17/2022 04:00:00 PM","02/17/2022 08:00:00 PM","Sport - Youth","Manhattan","De Witt Clinton Park: Soccer-01 ,Harlem River Park: Soccer-01 ,James J Walker Park: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C"
"3667","Celebration","06/19/2022 10:00:00 AM","06/19/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"3668","Celebration","05/03/2022 01:00:00 PM","05/03/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"3669","Soccer - Non Regulation","03/05/2022 04:00:00 PM","03/05/2022 08:00:00 PM","Sport - Adult","Brooklyn","Sunset Park: Soccer-01A ,Sunset Park: Soccer-01B"
"3670","Football - Adults","03/06/2022 10:00:00 AM","03/06/2022 12:00:00 PM","Sport - Adult","Manhattan","Booker T. Washington Playground: Soccer-01"
"3671","Softball (Little league)","03/04/2022 03:00:00 PM","03/04/2022 05:00:00 PM","Sport - Youth","Bronx","Patterson Playground: Softball-01"
"3672","Soccer -Regulation","03/06/2022 09:00:00 AM","03/06/2022 07:00:00 PM","Sport - Youth","Queens","Kissena Corridor West: Soccer-01"
"3673","Football - Adults","03/06/2022 09:00:00 AM","03/06/2022 03:00:00 PM","Sport - Adult","Manhattan","Harlem River Park: Soccer-01"
"3674","Soccer - Non Regulation","03/06/2022 08:00:00 AM","03/06/2022 10:00:00 PM","Sport - Youth","Staten Island","Freshkills Park: Owl Hollow-Soccer-2"
"3675","SAFE Disposal Event","06/21/2022 04:00:00 PM","06/21/2022 08:00:00 PM","Special Event","Brooklyn","Maria Hernandez Park: Maria Hernandez Park"
"3676","Build a Birdfeeder","02/24/2022 01:00:00 PM","02/24/2022 03:00:00 PM","Special Event","Brooklyn","Fort Greene Park: Monument Plaza"
"3677","Soccer - Non Regulation","02/28/2022 12:00:00 PM","02/28/2022 07:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01 ,Sternberg Park (Lindsey Park): Football-01 ,Washington Park (MS 51): Soccer-01B"
"3678","Lacrosse","02/24/2022 03:30:00 PM","02/24/2022 06:00:00 PM","Sport - Youth","Queens","Frank Principe Park / Maurice Park: Soccer-03"
"3679","Vaccine Command Center - Stuyvesant Heights","02/13/2022 06:00:00 AM","02/16/2022 07:00:00 PM","Street Event","Brooklyn","FULTON STREET between UTICA AVENUE and SCHENECTADY AVENUE"
"3680","Frisbee Hill Winter Closure Nov. 29, 2021 - April 2, 2022","03/12/2022 12:00:00 AM","03/12/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Frisbee Hill"
"3681","Union Square Greenmarket Monday, Wednesday, Friday and Saturday","03/04/2022 08:00:00 AM","03/04/2022 07:00:00 PM","Farmers Market","Manhattan","UNION SQUARE WEST between EAST   14 STREET and EAST   15 STREET"
"3682","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 10:00:00 PM","Sport - Adult","Staten Island","Freshkills Park: Owl Hollow-Soccer-4"
"3683","Miscellaneous","03/04/2022 08:00:00 AM","03/04/2022 08:00:00 PM","Sport - Youth","Brooklyn","P.O. Reinaldo Salgado Playground (PS 309): Football-01"
"3684","Hockey","03/06/2022 09:00:00 AM","03/06/2022 09:30:00 PM","Sport - Youth","Queens","College Point Fields: Hockey-01"
"3685","Soccer - Non Regulation","02/27/2022 08:00:00 AM","02/27/2022 10:00:00 PM","Sport - Youth","Brooklyn","Linden Park (Gershwin Park - JHS 166): Football-01"
"3686","Soccer - Non Regulation","03/06/2022 08:00:00 AM","03/06/2022 05:00:00 PM","Sport - Youth","Brooklyn","Bill Brown Playground: Soccer-01"
"3687","2022 Times Square Valentine Heart","03/02/2022 12:00:00 AM","03/02/2022 11:59:00 PM","Special Event","Manhattan","Father Duffy Square: Father Duffy Square"
"3688","COVID-19 Testing- Star Spangled Playground","02/19/2022 07:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Brooklyn","Star Spangled Playground (IS 117): Star Spangled Playground"
"3689","Mobile COVID-19 Test Site","02/17/2022 08:00:00 AM","02/17/2022 07:00:00 PM","Special Event","Staten Island","Lieutenant John H. Martinson Playground: Lieutenant John H. Martinson Playground"
"3690","Soccer -Regulation","03/04/2022 07:00:00 AM","03/04/2022 10:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: East River Fields-Soccer-84 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: E"
"3691","Miscellaneous","02/24/2022 10:00:00 AM","02/24/2022 03:00:00 PM","Sport - Youth","Manhattan","Vesuvio Playground: Handball-03"
"3692","Diana Ross Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/06/2022 12:00:00 AM","03/06/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Diana Ross Playground Lawn"
"3693","Carlos Konig 20th Anniversary Central Park Salsa","08/27/2022 04:30:00 PM","08/27/2022 08:00:00 PM","Special Event","Manhattan","Central Park: Bandshell Plaza"
"3694","Baseball - 12 and Under (Little League)","03/05/2022 09:00:00 AM","03/05/2022 04:00:00 PM","Sport - Youth","Brooklyn","Dean Playground: Soccer-01"
"3695","Celebration","07/23/2022 02:00:00 PM","07/23/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Belvedere Castle Terrace"
"3696","Vaccine Command Center - Jackson Heights Roosevelt","02/11/2022 05:00:00 AM","02/15/2022 07:00:00 PM","Street Event","Queens","90 STREET between ROOSEVELT AVENUE and 37 AVENUE"
"3697","Lacrosse","03/19/2022 09:00:00 AM","03/19/2022 04:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island"
"3698","Football Ã¢â¬â Flag Football","03/06/2022 12:00:00 PM","03/06/2022 05:00:00 PM","Sport - Youth","Brooklyn","McDonald Playground: Multi Purpose Play Area-01"
"3699","Celebration","10/29/2022 11:00:00 AM","10/29/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3700","Hockey","03/06/2022 08:00:00 AM","03/06/2022 02:00:00 PM","Sport - Youth","Bronx","Bufano Park: Hockey-01"
"3701","Harry Potter Line Cue","06/27/2021 12:01:00 AM","02/21/2022 11:59:00 PM","Production Event","Manhattan","5 AVENUE between EAST   22 STREET and EAST   21 STREET"
"3702","Baseball - 12 and Under (Little League)","03/13/2022 08:00:00 AM","03/13/2022 04:00:00 PM","Sport - Youth","Brooklyn","Dimattina Playground: Softball-01"
"3703","East Green Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/06/2022 12:00:00 AM","03/06/2022 11:59:00 PM","Special Event","Manhattan","Central Park: East 72nd Street Playground Lawns"
"3704","Football Ã¢â¬â Flag Football","03/05/2022 12:00:00 PM","03/05/2022 03:00:00 PM","Sport - Youth","Bronx","Kwame Ture Recreation Center: Soccer-01"
"3705","Jazz Concert","05/07/2022 11:00:00 AM","05/07/2022 01:00:00 PM","Special Event","Manhattan","Alfred E. Smith Playground: Alfred E. Smith Playground"
"3706","Soccer - Non Regulation","03/06/2022 03:00:00 PM","03/06/2022 04:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01 ,Astoria Park: Soccer-01"
"3707","CTS  Covid -19 testing for the public","02/01/2022 07:00:00 AM","02/28/2022 07:00:00 PM","Street Event","Brooklyn","KNICKERBOCKER AVENUE between STANHOPE STREET and HIMROD STREET"
"3708","Party","06/11/2022 12:00:00 PM","06/11/2022 04:00:00 PM","Special Event","Manhattan","Central Park: The Pool Lawns"
"3709","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 12:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"3710","RRT- Covid 19 testing and Vaccine for the public","02/26/2022 07:00:00 AM","02/26/2022 07:00:00 PM","Special Event","Brooklyn","Coffey Park: Coffey Park"
"3711","Soccer - Non Regulation","03/05/2022 09:00:00 AM","03/05/2022 01:00:00 PM","Sport - Youth","Manhattan","Highbridge Park: Soccer-01"
"3712","Lawn Closure of Oval lawn","03/05/2022 12:00:00 AM","03/05/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Oval Lawn"
"3713","Covid -19 testing","12/30/2021 07:00:00 AM","02/28/2022 07:00:00 PM","Street Event","Queens","BROADWAY between 41 AVENUE and BAXTER AVENUE"
"3714","Celebration","07/07/2022 03:00:00 PM","07/07/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Belvedere Castle Terrace"
"3715","Soccer -Regulation","03/06/2022 09:00:00 AM","03/06/2022 03:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Wards Meadow Fields-Soccer-72"
"3716","Soccer - Non Regulation","03/06/2022 12:00:00 PM","03/06/2022 07:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01"
"3717","Celebration","05/01/2022 02:00:00 PM","05/01/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3718","Miscellaneous","03/04/2022 12:00:00 PM","03/04/2022 05:00:00 PM","Sport - Youth","Brooklyn","Kelly Park: Softball-01"
"3719","Football - Youth","03/04/2022 09:00:00 AM","03/04/2022 09:00:00 PM","Sport - Youth","Brooklyn","St. John's Park: Buddy Keaton-Soccer-01"
"3720","Picnic House","05/28/2022 12:00:00 PM","05/28/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"3721","Soccer -Regulation","03/05/2022 08:30:00 AM","03/05/2022 10:00:00 AM","Sport - Adult","Staten Island","Blood Root Valley: Greenbelt Recreation Center-Soccer-01"
"3722","2022 No Amplified Sound","03/05/2022 07:00:00 AM","03/05/2022 07:00:00 PM","Special Event","Manhattan","Washington Square Park: Fountain Plaza ,Washington Square Park: Garibaldi Plaza ,Washington Square Park: Holley Plaza"
"3723","Picnic","07/23/2022 10:00:00 AM","07/23/2022 10:00:00 PM","Special Event","Queens","Alley Pond Park: Alley Springfield BBQ Area Orange"
"3724","Football - Youth","03/05/2022 02:00:00 PM","03/05/2022 10:00:00 PM","Sport - Youth","Bronx","Macombs Dam Park: Soccer-01"
"3725","Lawn Closure of Magnolia Lawn","03/06/2022 12:00:00 AM","03/06/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Magnolia Lawn"
"3726","Tennis","03/04/2022 11:00:00 AM","03/04/2022 07:00:00 PM","Sport - Youth","Staten Island","Walker Park: Tennis-01"
"3727","Celebration","07/07/2022 03:00:00 PM","07/07/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"3728","Great Hill Winter Closure 11-1-2021 - 5-1-2022","03/04/2022 12:00:00 AM","03/04/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Great Hill Oval"
"3729","Mobile COVID-19 Vaccine","02/19/2022 08:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Brooklyn","100% Playground: 100% Playground"
"3730","Soccer - Non Regulation","03/06/2022 09:00:00 AM","03/06/2022 01:00:00 PM","Sport - Youth","Manhattan","Riverside Park: 101st St-Soccer-04 C"
"3731","Soccer - Non Regulation","03/06/2022 02:00:00 PM","03/06/2022 04:00:00 PM","Sport - Adult","Queens","Murray Playground: Soccer-01"
"3732","Mobile COVID-19 Test Site","02/25/2022 08:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Brooklyn","Marion Hopkinson Playground: Marion Hopkinson Playground"
"3733","Dairy Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/04/2022 12:00:00 AM","03/04/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dairy Lawn"
"3734","Soccer - Non Regulation","03/06/2022 12:00:00 PM","03/06/2022 04:00:00 PM","Sport - Adult","Manhattan","Sara D. Roosevelt Park: Nike Field-Soccer-02"
"3735","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 02:00:00 PM","Sport - Adult","Manhattan","Sara D. Roosevelt Park: Lion's Gate-Soccer-03"
"3736","Steppers Performance and Dance Demo","08/06/2022 01:30:00 PM","08/06/2022 06:30:00 PM","Special Event","Manhattan","Central Park: Summit Rock"
"3737","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 10:00:00 PM","Sport - Youth","Brooklyn","Linden Park (Gershwin Park - JHS 166): Football-01"
"3738","Celebration","08/20/2022 10:00:00 AM","08/20/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"3739","Celebration","06/12/2022 12:00:00 PM","06/12/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3740","Basketball","02/20/2022 11:00:00 AM","02/20/2022 05:00:00 PM","Sport - Youth","Brooklyn","Kelly Park: Basketball-01"
"3741","Miscellaneous","03/04/2022 06:00:00 PM","03/04/2022 08:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"3742","Soccer - Non Regulation","03/06/2022 08:00:00 AM","03/06/2022 10:00:00 AM","Sport - Youth","Brooklyn","Newtown Barge Playground: Soccer-01"
"3743","Movies Under the Stars","06/25/2022 07:00:00 PM","06/25/2022 09:00:00 PM","Special Event","Manhattan","Bellevue South Park: Basketball-01 ,Bellevue South Park: Basketball-02"
"3744","Soccer - Non Regulation","03/05/2022 08:00:00 AM","03/05/2022 10:00:00 AM","Sport - Adult","Manhattan","East River Park: Soccer-01 East 6th Street"
"3745","Celebration","07/17/2022 10:00:00 AM","07/17/2022 12:00:00 PM","Special Event","Manhattan","Central Park: The Pool Lawns"
"3746","RRT- Covid 19 testing and Vaccine for the public","02/19/2022 07:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Brooklyn","Coffey Park: Coffey Park"
"3747","Football Ã¢â¬â Flag Football","03/06/2022 09:00:00 AM","03/06/2022 05:00:00 PM","Sport - Youth","Staten Island","Bloomingdale Park: Soccer-01"
"3748","Outdoor Learning Initiative South Bronx Charter School ICA- 84x309","03/04/2022 08:00:00 AM","03/04/2022 03:00:00 PM","Special Event","Bronx","Playground One Thirty Four CXXXIV: Playground One Thirty Four CXXXIV"
"3749","Soccer - Non Regulation","03/05/2022 10:00:00 AM","03/05/2022 12:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01"
"3750","Mixteca Food Box on 23rd Saturday","03/12/2022 11:00:00 AM","03/12/2022 02:00:00 PM","Farmers Market","Brooklyn","23 STREET between 5 AVENUE and 6 AVENUE"
"3751","CDP Marathon Protests","06/07/2022 01:30:00 PM","06/07/2022 03:00:00 PM","Special Event","Manhattan","Dag Hammarskjold Plaza: First Avenue Plaza"
"3752","Miscellaneous","03/05/2022 09:00:00 AM","03/05/2022 05:30:00 PM","Sport - Youth","Bronx","P.S. 29 Ball Field: Softball-01"
"3753","NYC DOE Outdoor Learning- District 20 PreK Center","03/04/2022 09:00:00 AM","03/04/2022 12:00:00 PM","Special Event","Brooklyn","Mckinley Park: Lawn Area West"
"3754","Meet the Native Plants Demonstration Gardens","03/05/2022 12:00:00 AM","03/05/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Southern Fountain Circle Plaza"
"3755","Softball - Adults","03/13/2022 10:00:00 AM","03/13/2022 12:00:00 PM","Sport - Adult","Brooklyn","Marine Park: Gerritsen Complex-Asphalt-Softball-01 ,Marine Park: Gerritsen Complex-Asphalt-Softball-02"
"3756","Outdoor Learning- PS 39K- DOE","02/14/2022 09:00:00 AM","02/14/2022 02:00:00 PM","Special Event","Brooklyn","Prospect Park: Bandshell South"
"3757","Soccer - Non Regulation","02/23/2022 08:00:00 AM","02/23/2022 10:00:00 PM","Sport - Adult","Brooklyn","Bush Terminal Park: Soccer-01"
"3758","Soccer - Non Regulation","02/19/2022 09:00:00 AM","02/19/2022 10:00:00 PM","Sport - Adult","Queens","Astoria Park: Soccer-01"
"3759","Picnic","05/22/2022 09:00:00 AM","05/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: The Pond Lawns"
"3760","Soccer - Non Regulation","02/27/2022 10:00:00 AM","02/27/2022 12:00:00 PM","Sport - Youth","Manhattan","Booker T. Washington Playground: Soccer-01"
"3761","Dairy Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","02/14/2022 12:00:00 AM","02/14/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Dairy Lawn"
"3762","Soccer - Non Regulation","03/04/2022 12:30:00 PM","03/04/2022 04:00:00 PM","Sport - Youth","Manhattan","Thomas Jefferson Park: Soccer-01"
"3763","Soccer -Regulation","03/06/2022 11:00:00 AM","03/06/2022 04:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"3764","Soccer - Non Regulation","02/26/2022 06:00:00 PM","02/26/2022 10:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74"
"3765","Football - Adults","03/06/2022 09:00:00 AM","03/06/2022 03:30:00 PM","Sport - Adult","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"3766","Soccer - Non Regulation","03/05/2022 09:00:00 AM","03/05/2022 12:00:00 PM","Sport - Youth","Manhattan","Marx Brothers Playground: Soccer-01"
"3767","Celebration","04/22/2022 11:00:00 AM","04/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3768","Soccer - Non Regulation","03/05/2022 09:00:00 AM","03/05/2022 11:00:00 PM","Sport - Adult","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Sunken Garden Fields-Soccer-91"
"3769","Mobile COVID-19 Vaccine","02/17/2022 08:00:00 AM","02/17/2022 06:00:00 PM","Special Event","Brooklyn","Herbert Von King Park: Lafayette Avenue BBQ Area near Baseball Field"
"3770","Celebration","04/30/2022 02:00:00 PM","04/30/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"3771","Soccer - Non Regulation","03/05/2022 12:00:00 PM","03/05/2022 02:00:00 PM","Sport - Adult","Brooklyn","Parade Ground: Soccer-08A ,Parade Ground: Soccer-08B ,Parade Ground: Football-09 ,Parade Ground: Football-09A ,Parade Ground: Football-09B"
"3772","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 05:00:00 PM","Sport - Adult","Brooklyn","Parade Ground: Soccer-08A"
"3773","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 08:00:00 PM","Sport - Youth","Brooklyn","Sternberg Park (Lindsey Park): Football-01"
"3774","Lawn Closure of Sol Lewitt Lawn","03/04/2022 12:01:00 AM","03/04/2022 12:00:00 PM","Special Event","Manhattan","Madison Square Park: Sol Lewitt / 25th St Lawn South"
"3775","Vaccine Command Center - Tappen Park/Stapleton","02/13/2022 06:00:00 AM","02/16/2022 07:00:00 PM","Street Event","Staten Island","BROAD STREET between CEDAR STREET and GORDON STREET"
"3776","Baseball - 12 and Under (Little League)","03/05/2022 09:00:00 AM","03/05/2022 01:00:00 PM","Sport - Youth","Manhattan","Corlears Hook Park: Softball-01"
"3777","Celebration","08/24/2022 01:00:00 PM","08/24/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"3778","Celebration","05/06/2022 03:00:00 PM","05/06/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"3779","Soccer - Non Regulation","03/04/2022 01:00:00 PM","03/04/2022 06:00:00 PM","Sport - Youth","Queens","Murray Playground: Soccer-01"
"3780","Lawn Closure of Oval lawn","03/06/2022 12:00:00 AM","03/06/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Oval Lawn"
"3781","Celebration","09/24/2022 12:00:00 PM","09/24/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Belvedere Castle Terrace"
"3782","Frisbee","03/06/2022 12:00:00 PM","03/06/2022 10:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01 ,McCarren Park: Soccer-01"
"3783","Covid -19 testing for the public","01/12/2022 07:00:00 AM","02/28/2022 07:00:00 PM","Street Event","Manhattan","COLUMBUS AVENUE between WEST   91 STREET and WEST   92 STREET"
"3784","Soccer - Non Regulation","03/03/2022 06:00:00 PM","03/03/2022 08:00:00 PM","Sport - Youth","Queens","Flushing Meadows Corona Park: Soccer-05"
"3785","Miscellaneous","03/05/2022 12:00:00 PM","03/05/2022 04:00:00 PM","Sport - Youth","Brooklyn","Bush Terminal Park: Soccer-02"
"3786","Soccer - Non Regulation","03/04/2022 06:00:00 PM","03/04/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"3787","Soccer - Non Regulation","03/10/2022 06:00:00 PM","03/10/2022 09:30:00 PM","Sport - Adult","Brooklyn","Sunset Park: Soccer-01B"
"3788","Mobile COVID-19 Test Site","02/16/2022 09:00:00 AM","02/16/2022 07:00:00 PM","Special Event","Brooklyn","Seth Low Playground: Bealin Square"
"3789","Softball (Little league)","03/03/2022 03:30:00 PM","03/03/2022 05:30:00 PM","Sport - Youth","Manhattan","Baruch Playground: Softball-01"
"3790","Soccer - Non Regulation","03/14/2022 12:00:00 PM","03/14/2022 07:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01 ,Sternberg Park (Lindsey Park): Football-01 ,Washington Park (MS 51): Soccer-01B"
"3791","Celebration","09/10/2022 12:00:00 PM","09/10/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"3792","Football - Adults","03/05/2022 10:00:00 AM","03/05/2022 02:00:00 PM","Sport - Adult","Manhattan","East River Park: Soccer-03 Houston St & FDR"
"3793","East Meadow - Weekend Closure until Apr 3, 2022","03/05/2022 12:00:00 AM","03/05/2022 11:00:00 PM","Special Event","Manhattan","Central Park: East Meadow ,Central Park: East Meadow Picnic Zone ,Central Park: East Meadow North Lawn ,Central Park: East 102nd St Clay Oval"
"3794","Celebration","05/06/2022 03:00:00 PM","05/06/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"3795","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 11:30:00 AM","Sport - Adult","Brooklyn","Star Spangled Playground (IS 117): Football-01"
"3796","Mobile COVID-19 Test Site","02/21/2022 08:00:00 AM","02/21/2022 07:00:00 PM","Special Event","Brooklyn","Marion Hopkinson Playground: Marion Hopkinson Playground"
"3797","Soccer -Regulation","03/06/2022 03:00:00 PM","03/06/2022 05:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-08"
"3798","Celebration","08/14/2022 10:00:00 AM","08/14/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"3799","Soccer -Regulation","03/04/2022 04:00:00 PM","03/04/2022 06:00:00 PM","Sport - Youth","Queens","Astoria Park: Soccer-01"
"3800","Soccer - Non Regulation","03/06/2022 07:00:00 AM","03/06/2022 09:00:00 AM","Sport - Adult","Queens","Kennedy Playground /Raymond O'Connor: Soccer-01"
"3801","Soccer - Non Regulation","03/06/2022 09:00:00 AM","03/06/2022 10:00:00 PM","Sport - Adult","Queens","Astoria Park: Soccer-01"
"3802","Celebration","09/01/2022 02:00:00 PM","09/01/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Bethesda Fountain Terrace"
"3803","Soccer - Non Regulation","03/06/2022 10:00:00 AM","03/06/2022 02:00:00 PM","Sport - Adult","Manhattan","Thomas Jefferson Park: Soccer-01"
"3804","Mobile COVID-19 Test Site","02/24/2022 08:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Brooklyn","St. John's Park: St. John's Park"
"3805","Mobile COVID-19 Test Site","02/23/2022 09:00:00 AM","02/23/2022 07:00:00 PM","Special Event","Brooklyn","Seth Low Playground: Bealin Square"
